Iteration: 1, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 60.014, with weight: 1.000
Iteration: 2, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 53.164, with weight: 0.900
Iteration: 3, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 48.869, with weight: 1.000
Iteration: 4, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 61.228, with weight: 1.000
Iteration: 5, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 44.260, with weight: 1.000
Iteration: 6, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 61.508, with weight: 0.600
Iteration: 7, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 53.883, with weight: 1.000
Iteration: 8, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 50.269, with weight: 0.700
Iteration: 9, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 59.301, with weight: 1.000
Iteration: 10, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 54.571, with weight: 1.000
Iteration: 11, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 47.352, with weight: 0.700
Iteration: 12, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 40.475, with weight: 0.900
Iteration: 13, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 46.690, with weight: 1.000
Iteration: 14, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 59.300, with weight: 0.700
Iteration: 15, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 58.117, with weight: 1.000
Iteration: 16, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 56.264, with weight: 0.800
Iteration: 17, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 57.264, with weight: 0.900
Iteration: 18, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 50.516, with weight: 0.600
Iteration: 19, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 52.974, with weight: 0.800
Iteration: 20, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 61.793, with weight: 0.900
Iteration: 21, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 42.467, with weight: 0.900
Iteration: 22, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 53.462, with weight: 1.000
Iteration: 23, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 51.797, with weight: 1.000
Iteration: 24, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 42.553, with weight: 1.000
Iteration: 25, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 58.587, with weight: 0.700
Iteration: 26, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 53.868, with weight: 1.000
Iteration: 27, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 46.792, with weight: 1.000
Iteration: 28, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 42.474, with weight: 0.900
Iteration: 29, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 45.446, with weight: 0.800
Iteration: 30, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 56.567, with weight: 1.000
Iteration: 31, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 48.741, with weight: 0.700
Iteration: 32, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 53.243, with weight: 1.000
Iteration: 33, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 47.134, with weight: 0.800
Iteration: 34, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 63.567, with weight: 0.800
Iteration: 35, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 44.759, with weight: 0.800
Iteration: 36, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 58.684, with weight: 1.000
Iteration: 37, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 47.446, with weight: 1.000
Iteration: 38, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 52.844, with weight: 1.000
Iteration: 39, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 55.741, with weight: 1.000
Iteration: 40, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 51.682, with weight: 0.900
Iteration: 41, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 60.182, with weight: 0.900
Iteration: 42, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 59.483, with weight: 0.900
Iteration: 43, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 57.647, with weight: 0.500
Iteration: 44, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 42.334, with weight: 1.000
Iteration: 45, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 57.952, with weight: 1.000
Iteration: 46, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 53.732, with weight: 1.000
Iteration: 47, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 57.761, with weight: 1.000
Iteration: 48, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 62.594, with weight: 0.800
Iteration: 49, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 41.799, with weight: 1.000
Iteration: 50, Accuracy of combined SVM + BT + Sunsal Unmixing (on normalized data): 39.659, with weight: 1.000
---------------------------------------------------------------------------------------------------------------
Average accuracy: 52.576
