Iteration: 1, Accuracy of combined SVM + BT + Unmixing (on normalized data): 58.497, with weight: 1.000
Iteration: 2, Accuracy of combined SVM + BT + Unmixing (on normalized data): 57.021, with weight: 1.000
Iteration: 3, Accuracy of combined SVM + BT + Unmixing (on normalized data): 54.644, with weight: 0.900
Iteration: 4, Accuracy of combined SVM + BT + Unmixing (on normalized data): 46.066, with weight: 0.900
Iteration: 5, Accuracy of combined SVM + BT + Unmixing (on normalized data): 50.728, with weight: 1.000
Iteration: 6, Accuracy of combined SVM + BT + Unmixing (on normalized data): 55.821, with weight: 1.000
Iteration: 7, Accuracy of combined SVM + BT + Unmixing (on normalized data): 54.884, with weight: 0.900
Iteration: 8, Accuracy of combined SVM + BT + Unmixing (on normalized data): 56.758, with weight: 0.900
Iteration: 9, Accuracy of combined SVM + BT + Unmixing (on normalized data): 56.258, with weight: 0.900
Iteration: 10, Accuracy of combined SVM + BT + Unmixing (on normalized data): 46.372, with weight: 0.900
Iteration: 11, Accuracy of combined SVM + BT + Unmixing (on normalized data): 48.782, with weight: 0.800
Iteration: 12, Accuracy of combined SVM + BT + Unmixing (on normalized data): 43.248, with weight: 0.700
Iteration: 13, Accuracy of combined SVM + BT + Unmixing (on normalized data): 56.581, with weight: 0.900
Iteration: 14, Accuracy of combined SVM + BT + Unmixing (on normalized data): 46.858, with weight: 0.900
Iteration: 15, Accuracy of combined SVM + BT + Unmixing (on normalized data): 58.147, with weight: 1.000
Iteration: 16, Accuracy of combined SVM + BT + Unmixing (on normalized data): 61.720, with weight: 1.000
Iteration: 17, Accuracy of combined SVM + BT + Unmixing (on normalized data): 58.994, with weight: 1.000
Iteration: 18, Accuracy of combined SVM + BT + Unmixing (on normalized data): 59.071, with weight: 1.000
Iteration: 19, Accuracy of combined SVM + BT + Unmixing (on normalized data): 61.138, with weight: 1.000
Iteration: 20, Accuracy of combined SVM + BT + Unmixing (on normalized data): 56.663, with weight: 1.000
Iteration: 21, Accuracy of combined SVM + BT + Unmixing (on normalized data): 53.893, with weight: 1.000
Iteration: 22, Accuracy of combined SVM + BT + Unmixing (on normalized data): 57.505, with weight: 0.900
Iteration: 23, Accuracy of combined SVM + BT + Unmixing (on normalized data): 62.342, with weight: 0.900
Iteration: 24, Accuracy of combined SVM + BT + Unmixing (on normalized data): 63.901, with weight: 0.900
Iteration: 25, Accuracy of combined SVM + BT + Unmixing (on normalized data): 63.146, with weight: 0.900
Iteration: 26, Accuracy of combined SVM + BT + Unmixing (on normalized data): 54.271, with weight: 1.000
Iteration: 27, Accuracy of combined SVM + BT + Unmixing (on normalized data): 58.270, with weight: 0.900
Iteration: 28, Accuracy of combined SVM + BT + Unmixing (on normalized data): 53.199, with weight: 1.000
Iteration: 29, Accuracy of combined SVM + BT + Unmixing (on normalized data): 52.160, with weight: 1.000
Iteration: 30, Accuracy of combined SVM + BT + Unmixing (on normalized data): 54.319, with weight: 1.000
Iteration: 31, Accuracy of combined SVM + BT + Unmixing (on normalized data): 57.873, with weight: 0.900
Iteration: 32, Accuracy of combined SVM + BT + Unmixing (on normalized data): 53.334, with weight: 1.000
Iteration: 33, Accuracy of combined SVM + BT + Unmixing (on normalized data): 58.010, with weight: 0.900
Iteration: 34, Accuracy of combined SVM + BT + Unmixing (on normalized data): 55.016, with weight: 1.000
Iteration: 35, Accuracy of combined SVM + BT + Unmixing (on normalized data): 46.093, with weight: 0.900
Iteration: 36, Accuracy of combined SVM + BT + Unmixing (on normalized data): 53.677, with weight: 1.000
Iteration: 37, Accuracy of combined SVM + BT + Unmixing (on normalized data): 54.584, with weight: 0.900
Iteration: 38, Accuracy of combined SVM + BT + Unmixing (on normalized data): 62.278, with weight: 0.800
Iteration: 39, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.264, with weight: 1.000
Iteration: 40, Accuracy of combined SVM + BT + Unmixing (on normalized data): 60.176, with weight: 1.000
Iteration: 41, Accuracy of combined SVM + BT + Unmixing (on normalized data): 51.112, with weight: 0.900
Iteration: 42, Accuracy of combined SVM + BT + Unmixing (on normalized data): 55.251, with weight: 0.800
Iteration: 43, Accuracy of combined SVM + BT + Unmixing (on normalized data): 63.048, with weight: 0.900
Iteration: 44, Accuracy of combined SVM + BT + Unmixing (on normalized data): 53.342, with weight: 1.000
Iteration: 45, Accuracy of combined SVM + BT + Unmixing (on normalized data): 54.308, with weight: 0.900
Iteration: 46, Accuracy of combined SVM + BT + Unmixing (on normalized data): 61.912, with weight: 1.000
Iteration: 47, Accuracy of combined SVM + BT + Unmixing (on normalized data): 58.864, with weight: 1.000
Iteration: 48, Accuracy of combined SVM + BT + Unmixing (on normalized data): 60.432, with weight: 0.900
Iteration: 49, Accuracy of combined SVM + BT + Unmixing (on normalized data): 62.513, with weight: 1.000
Iteration: 50, Accuracy of combined SVM + BT + Unmixing (on normalized data): 61.755, with weight: 0.900
Average accuracy: 56.182
