Iteration: 1, Accuracy of combined SVM + BT + Unmixing (on normalized data): 62.138, with weight:  0.900
Iteration: 2, Accuracy of combined SVM + BT + Unmixing (on normalized data): 63.295, with weight:  1.000
Iteration: 3, Accuracy of combined SVM + BT + Unmixing (on normalized data): 63.481, with weight:  0.800
Iteration: 4, Accuracy of combined SVM + BT + Unmixing (on normalized data): 63.957, with weight:  0.800
Iteration: 5, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.483, with weight:  0.800
Iteration: 6, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.401, with weight:  0.800
Iteration: 7, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.143, with weight:  0.700
Iteration: 8, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.339, with weight:  0.700
Iteration: 9, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.184, with weight:  0.700
Iteration: 10, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.163, with weight: 0.700
Iteration: 11, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.329, with weight: 0.700
Iteration: 12, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.163, with weight: 0.800
Iteration: 13, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.029, with weight: 0.800
Iteration: 14, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.215, with weight: 0.700
Iteration: 15, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.163, with weight: 0.700
Iteration: 16, Accuracy of combined SVM + BT + Unmixing (on normalized data): 63.926, with weight: 0.700
Iteration: 17, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.287, with weight: 0.700
Iteration: 18, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.039, with weight: 0.700
Iteration: 19, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.236, with weight: 0.700
Iteration: 20, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.132, with weight: 0.700
Iteration: 21, Accuracy of combined SVM + BT + Unmixing (on normalized data): 65.413, with weight: 0.800
Iteration: 22, Accuracy of combined SVM + BT + Unmixing (on normalized data): 65.568, with weight: 0.800
Iteration: 23, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.473, with weight: 0.700
Iteration: 24, Accuracy of combined SVM + BT + Unmixing (on normalized data): 65.579, with weight: 0.800
Iteration: 25, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.008, with weight: 0.700
Iteration: 26, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.163, with weight: 0.700
Iteration: 27, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.380, with weight: 0.700
Iteration: 28, Accuracy of combined SVM + BT + Unmixing (on normalized data): 65.475, with weight: 0.800
Iteration: 29, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.267, with weight: 0.700
Iteration: 30, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.318, with weight: 0.700
Iteration: 31, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.514, with weight: 0.700
Iteration: 32, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.277, with weight: 0.700
Iteration: 33, Accuracy of combined SVM + BT + Unmixing (on normalized data): 65.713, with weight: 0.700
Iteration: 34, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.256, with weight: 0.700
Iteration: 35, Accuracy of combined SVM + BT + Unmixing (on normalized data): 65.444, with weight: 0.800
Iteration: 36, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.545, with weight: 0.700
Iteration: 37, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.339, with weight: 0.700
Iteration: 38, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.246, with weight: 0.700
Iteration: 39, Accuracy of combined SVM + BT + Unmixing (on normalized data): 65.692, with weight: 0.700
Iteration: 40, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.267, with weight: 0.700
Iteration: 41, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.329, with weight: 0.700
Iteration: 42, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.246, with weight: 0.700
Iteration: 43, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.349, with weight: 0.700
Iteration: 44, Accuracy of combined SVM + BT + Unmixing (on normalized data): 65.548, with weight: 0.700
Iteration: 45, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.360, with weight: 0.700
Iteration: 46, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.339, with weight: 0.700
Iteration: 47, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.442, with weight: 0.700
Iteration: 48, Accuracy of combined SVM + BT + Unmixing (on normalized data): 65.692, with weight: 0.700
Iteration: 49, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.308, with weight: 0.700
Iteration: 50, Accuracy of combined SVM + BT + Unmixing (on normalized data): 65.661, with weight: 0.700
Average accuracy: 64.446														   Average weight: 0.712			
