Iteration: 1, Max accuracy of Unmixing (on normalized data): 49.751, with lamda: 0.200
Iteration: 2, Max accuracy of Unmixing (on normalized data): 55.304, with lamda: 0.200
Iteration: 3, Max accuracy of Unmixing (on normalized data): 51.868, with lamda: 0.000
Iteration: 4, Max accuracy of Unmixing (on normalized data): 54.550, with lamda: 0.000
Iteration: 5, Max accuracy of Unmixing (on normalized data): 53.322, with lamda: 0.000
Iteration: 6, Max accuracy of Unmixing (on normalized data): 44.043, with lamda: 0.800
Iteration: 7, Max accuracy of Unmixing (on normalized data): 48.108, with lamda: 0.500
Iteration: 8, Max accuracy of Unmixing (on normalized data): 53.177, with lamda: 0.000
Iteration: 9, Max accuracy of Unmixing (on normalized data): 60.988, with lamda: 0.000
Iteration: 10, Max accuracy of Unmixing (on normalized data): 52.538, with lamda: 0.200
Iteration: 11, Max accuracy of Unmixing (on normalized data): 60.914, with lamda: 0.000
Iteration: 12, Max accuracy of Unmixing (on normalized data): 54.740, with lamda: 0.200
Iteration: 13, Max accuracy of Unmixing (on normalized data): 58.630, with lamda: 0.000
Iteration: 14, Max accuracy of Unmixing (on normalized data): 55.795, with lamda: 0.000
Iteration: 15, Max accuracy of Unmixing (on normalized data): 56.183, with lamda: 0.000
Iteration: 16, Max accuracy of Unmixing (on normalized data): 49.783, with lamda: 0.700
Iteration: 17, Max accuracy of Unmixing (on normalized data): 51.986, with lamda: 0.000
Iteration: 18, Max accuracy of Unmixing (on normalized data): 51.268, with lamda: 0.000
Iteration: 19, Max accuracy of Unmixing (on normalized data): 51.732, with lamda: 0.000
Iteration: 20, Max accuracy of Unmixing (on normalized data): 56.727, with lamda: 0.000
Iteration: 21, Max accuracy of Unmixing (on normalized data): 48.188, with lamda: 0.000
Iteration: 22, Max accuracy of Unmixing (on normalized data): 57.368, with lamda: 0.100
Iteration: 23, Max accuracy of Unmixing (on normalized data): 52.942, with lamda: 0.900
Iteration: 24, Max accuracy of Unmixing (on normalized data): 54.415, with lamda: 0.000
Iteration: 25, Max accuracy of Unmixing (on normalized data): 62.052, with lamda: 0.000
Iteration: 26, Max accuracy of Unmixing (on normalized data): 54.773, with lamda: 0.000
Iteration: 27, Max accuracy of Unmixing (on normalized data): 52.623, with lamda: 0.200
Iteration: 28, Max accuracy of Unmixing (on normalized data): 56.647, with lamda: 0.100
Iteration: 29, Max accuracy of Unmixing (on normalized data): 55.421, with lamda: 0.200
Iteration: 30, Max accuracy of Unmixing (on normalized data): 55.094, with lamda: 0.000
Iteration: 31, Max accuracy of Unmixing (on normalized data): 55.240, with lamda: 0.000
Iteration: 32, Max accuracy of Unmixing (on normalized data): 61.714, with lamda: 0.000
Iteration: 33, Max accuracy of Unmixing (on normalized data): 57.223, with lamda: 0.000
Iteration: 34, Max accuracy of Unmixing (on normalized data): 51.487, with lamda: 0.400
Iteration: 35, Max accuracy of Unmixing (on normalized data): 56.665, with lamda: 0.800
Iteration: 36, Max accuracy of Unmixing (on normalized data): 55.580, with lamda: 0.000
Iteration: 37, Max accuracy of Unmixing (on normalized data): 55.280, with lamda: 0.000
Iteration: 38, Max accuracy of Unmixing (on normalized data): 57.700, with lamda: 0.200
Iteration: 39, Max accuracy of Unmixing (on normalized data): 56.446, with lamda: 0.000
Iteration: 40, Max accuracy of Unmixing (on normalized data): 49.249, with lamda: 0.700
Iteration: 41, Max accuracy of Unmixing (on normalized data): 51.453, with lamda: 0.000
Iteration: 42, Max accuracy of Unmixing (on normalized data): 53.705, with lamda: 0.200
Iteration: 43, Max accuracy of Unmixing (on normalized data): 51.455, with lamda: 0.000
Iteration: 44, Max accuracy of Unmixing (on normalized data): 55.332, with lamda: 0.000
Iteration: 45, Max accuracy of Unmixing (on normalized data): 59.412, with lamda: 0.000
Iteration: 46, Max accuracy of Unmixing (on normalized data): 55.934, with lamda: 0.000
Iteration: 47, Max accuracy of Unmixing (on normalized data): 54.202, with lamda: 0.000
Iteration: 48, Max accuracy of Unmixing (on normalized data): 55.431, with lamda: 0.000
Iteration: 49, Max accuracy of Unmixing (on normalized data): 58.421, with lamda: 0.000
Iteration: 50, Max accuracy of Unmixing (on normalized data): 49.472, with lamda: 0.000
Average accuracy: 54.447
