Iteration: 1, Accuracy of combined SVM + BT + Unmixing (on normalized data): 47.039, with weight: 1.000
Iteration: 2, Accuracy of combined SVM + BT + Unmixing (on normalized data): 56.504, with weight: 1.000
Iteration: 3, Accuracy of combined SVM + BT + Unmixing (on normalized data): 59.039, with weight: 1.000
Iteration: 4, Accuracy of combined SVM + BT + Unmixing (on normalized data): 52.086, with weight: 1.000
Iteration: 5, Accuracy of combined SVM + BT + Unmixing (on normalized data): 59.777, with weight: 1.000
Iteration: 6, Accuracy of combined SVM + BT + Unmixing (on normalized data): 61.866, with weight: 1.000
Iteration: 7, Accuracy of combined SVM + BT + Unmixing (on normalized data): 56.027, with weight: 1.000
Iteration: 8, Accuracy of combined SVM + BT + Unmixing (on normalized data): 54.022, with weight: 1.000
Iteration: 9, Accuracy of combined SVM + BT + Unmixing (on normalized data): 55.934, with weight: 1.000
Iteration: 10, Accuracy of combined SVM + BT + Unmixing (on normalized data): 58.171, with weight: 1.000
Iteration: 11, Accuracy of combined SVM + BT + Unmixing (on normalized data): 61.847, with weight: 1.000
Iteration: 12, Accuracy of combined SVM + BT + Unmixing (on normalized data): 59.519, with weight: 1.000
Iteration: 13, Accuracy of combined SVM + BT + Unmixing (on normalized data): 60.719, with weight: 1.000
Iteration: 14, Accuracy of combined SVM + BT + Unmixing (on normalized data): 59.128, with weight: 1.000
Iteration: 15, Accuracy of combined SVM + BT + Unmixing (on normalized data): 64.896, with weight: 1.000
Iteration: 16, Accuracy of combined SVM + BT + Unmixing (on normalized data): 53.967, with weight: 1.000
Iteration: 17, Accuracy of combined SVM + BT + Unmixing (on normalized data): 54.502, with weight: 1.000
Iteration: 18, Accuracy of combined SVM + BT + Unmixing (on normalized data): 49.363, with weight: 1.000
Iteration: 19, Accuracy of combined SVM + BT + Unmixing (on normalized data): 56.862, with weight: 1.000
Iteration: 20, Accuracy of combined SVM + BT + Unmixing (on normalized data): 63.770, with weight: 1.000
Iteration: 21, Accuracy of combined SVM + BT + Unmixing (on normalized data): 61.909, with weight: 1.000
Iteration: 22, Accuracy of combined SVM + BT + Unmixing (on normalized data): 55.737, with weight: 1.000
Iteration: 23, Accuracy of combined SVM + BT + Unmixing (on normalized data): 48.718, with weight: 1.000
Iteration: 24, Accuracy of combined SVM + BT + Unmixing (on normalized data): 59.221, with weight: 1.000
Iteration: 25, Accuracy of combined SVM + BT + Unmixing (on normalized data): 54.254, with weight: 1.000
Iteration: 26, Accuracy of combined SVM + BT + Unmixing (on normalized data): 54.089, with weight: 1.000
Iteration: 27, Accuracy of combined SVM + BT + Unmixing (on normalized data): 58.613, with weight: 1.000
Iteration: 28, Accuracy of combined SVM + BT + Unmixing (on normalized data): 54.549, with weight: 1.000
Iteration: 29, Accuracy of combined SVM + BT + Unmixing (on normalized data): 49.475, with weight: 1.000
Iteration: 30, Accuracy of combined SVM + BT + Unmixing (on normalized data): 50.088, with weight: 1.000
Iteration: 31, Accuracy of combined SVM + BT + Unmixing (on normalized data): 61.557, with weight: 1.000
Iteration: 32, Accuracy of combined SVM + BT + Unmixing (on normalized data): 60.456, with weight: 1.000
Iteration: 33, Accuracy of combined SVM + BT + Unmixing (on normalized data): 60.557, with weight: 1.000
Iteration: 34, Accuracy of combined SVM + BT + Unmixing (on normalized data): 55.732, with weight: 1.000
Iteration: 35, Accuracy of combined SVM + BT + Unmixing (on normalized data): 47.466, with weight: 1.000
Iteration: 36, Accuracy of combined SVM + BT + Unmixing (on normalized data): 53.109, with weight: 1.000
Iteration: 37, Accuracy of combined SVM + BT + Unmixing (on normalized data): 60.389, with weight: 1.000
Iteration: 38, Accuracy of combined SVM + BT + Unmixing (on normalized data): 66.254, with weight: 1.000
Iteration: 39, Accuracy of combined SVM + BT + Unmixing (on normalized data): 58.636, with weight: 1.000
Iteration: 40, Accuracy of combined SVM + BT + Unmixing (on normalized data): 57.400, with weight: 1.000
Iteration: 41, Accuracy of combined SVM + BT + Unmixing (on normalized data): 55.969, with weight: 1.000
Iteration: 42, Accuracy of combined SVM + BT + Unmixing (on normalized data): 55.336, with weight: 1.000
Iteration: 43, Accuracy of combined SVM + BT + Unmixing (on normalized data): 53.235, with weight: 1.000
Iteration: 44, Accuracy of combined SVM + BT + Unmixing (on normalized data): 61.631, with weight: 1.000
Iteration: 45, Accuracy of combined SVM + BT + Unmixing (on normalized data): 56.801, with weight: 1.000
Iteration: 46, Accuracy of combined SVM + BT + Unmixing (on normalized data): 57.912, with weight: 1.000
Iteration: 47, Accuracy of combined SVM + BT + Unmixing (on normalized data): 48.019, with weight: 1.000
Iteration: 48, Accuracy of combined SVM + BT + Unmixing (on normalized data): 46.755, with weight: 1.000
Iteration: 49, Accuracy of combined SVM + BT + Unmixing (on normalized data): 51.444, with weight: 1.000
Iteration: 50, Accuracy of combined SVM + BT + Unmixing (on normalized data): 49.720, with weight: 1.000
Average accuracy: 56.201
