Iteration: 1, FCLSU unmixing accuracy: 7.649
Iteration: 2, FCLSU unmixing accuracy: 9.112
Iteration: 3, FCLSU unmixing accuracy: 7.653
Iteration: 4, FCLSU unmixing accuracy: 6.910
Iteration: 5, FCLSU unmixing accuracy: 7.690
Iteration: 6, FCLSU unmixing accuracy: 6.858
Iteration: 7, FCLSU unmixing accuracy: 7.620
Iteration: 8, FCLSU unmixing accuracy: 6.453
Iteration: 9, FCLSU unmixing accuracy: 8.216
Iteration: 10, FCLSU unmixing accuracy: 7.701
Iteration: 11, FCLSU unmixing accuracy: 8.154
Iteration: 12, FCLSU unmixing accuracy: 5.704
Iteration: 13, FCLSU unmixing accuracy: 7.937
Iteration: 14, FCLSU unmixing accuracy: 8.681
Iteration: 15, FCLSU unmixing accuracy: 8.013
Iteration: 16, FCLSU unmixing accuracy: 7.653
Iteration: 17, FCLSU unmixing accuracy: 7.339
Iteration: 18, FCLSU unmixing accuracy: 7.081
Iteration: 19, FCLSU unmixing accuracy: 5.784
Iteration: 20, FCLSU unmixing accuracy: 7.843
Iteration: 21, FCLSU unmixing accuracy: 7.500
Iteration: 22, FCLSU unmixing accuracy: 8.312
Iteration: 23, FCLSU unmixing accuracy: 8.009
Iteration: 24, FCLSU unmixing accuracy: 8.007
Iteration: 25, FCLSU unmixing accuracy: 6.676
Iteration: 26, FCLSU unmixing accuracy: 8.438
Iteration: 27, FCLSU unmixing accuracy: 8.638
Iteration: 28, FCLSU unmixing accuracy: 7.618
Iteration: 29, FCLSU unmixing accuracy: 8.295
Iteration: 30, FCLSU unmixing accuracy: 2.810
Iteration: 31, FCLSU unmixing accuracy: 8.940
Iteration: 32, FCLSU unmixing accuracy: 7.502
Iteration: 33, FCLSU unmixing accuracy: 7.583
Iteration: 34, FCLSU unmixing accuracy: 7.924
Iteration: 35, FCLSU unmixing accuracy: 7.318
Iteration: 36, FCLSU unmixing accuracy: 8.239
Iteration: 37, FCLSU unmixing accuracy: 7.913
Iteration: 38, FCLSU unmixing accuracy: 6.442
Iteration: 39, FCLSU unmixing accuracy: 8.417
Iteration: 40, FCLSU unmixing accuracy: 7.993
Iteration: 41, FCLSU unmixing accuracy: 8.185
Iteration: 42, FCLSU unmixing accuracy: 7.975
Iteration: 43, FCLSU unmixing accuracy: 7.389
Iteration: 44, FCLSU unmixing accuracy: 6.780
Iteration: 45, FCLSU unmixing accuracy: 8.468
Iteration: 46, FCLSU unmixing accuracy: 8.205
Iteration: 47, FCLSU unmixing accuracy: 8.518
Iteration: 48, FCLSU unmixing accuracy: 7.536
Iteration: 49, FCLSU unmixing accuracy: 7.544
Iteration: 50, FCLSU unmixing accuracy: 8.106
---------------------------------------------
					Average accuracy:   7.6%
